id,name,name_en,country,province,longitude,latitude,timezone,population,capital
1,东京,Tokyo,Japan,Tōkyō,139.7514,35.685,Asia/Tokyo,37785000,primary
2,雅加达,Jakarta,Indonesia,Jakarta,106.8269,-6.1753,Asia/Jakarta,33756000,primary
3,德里,Delhi,India,Delhi,77.23,28.66,Asia/Kolkata,32226000,admin
4,重庆,Chongqing,China,重庆,106.5069,29.55,Asia/Shanghai,32054159,admin
5,广州,Guangzhou,China,广东,113.26,23.13,Asia/Shanghai,26940000,admin
6,孟买,Mumbai,India,Mahārāshtra,72.8775,19.0758,Asia/Kolkata,24973000,admin
7,马尼拉,Manila,Philippines,Manila,120.9772,14.5958,Asia/Manila,24922000,primary
8,上海,Shanghai,China,上海,121.4692,31.2325,Asia/Shanghai,24870895,admin
9,圣保罗,Sao Paulo,Brazil,São Paulo,-46.6339,-23.5504,America/Sao_Paulo,23086000,admin
10,首尔,Seoul,"Korea, South",Seoul,126.99,37.56,Asia/Seoul,23016000,primary
11,北京,Beijing,China,北京,116.4075,39.904,Asia/Shanghai,21893095,primary
12,墨西哥城,Mexico City,Mexico,Ciudad de México,-99.1359,19.3538,America/Mexico_City,21804000,primary
13,加尔各答,Kolkata,India,West Bengal,88.37,22.5675,Asia/Kolkata,21747000,admin
14,成都,Chengdu,China,四川,104.0633,30.66,Asia/Shanghai,20937757,admin
15,开罗,Cairo,Egypt,Al Qāhirah,31.2358,30.0444,Africa/Cairo,20296000,primary
16,Karachi,Karachi,Pakistan,Sindh,67.01,24.86,Asia/Karachi,20249000,admin
17,纽约,New York,United States,New York,-73.9249,40.6943,America/New_York,19268388,
18,达卡,Dhaka,Bangladesh,Dhaka,90.3944,23.7289,Asia/Dhaka,19134000,primary
19,曼谷,Bangkok,Thailand,Krung Thep Maha Nakhon,100.5167,13.75,Asia/Bangkok,18007000,primary
20,深圳,Shenzhen,China,广东,114.0544,22.5467,Asia/Shanghai,17619000,minor
21,莫斯科,Moscow,Russia,Moskva,37.6175,55.7506,Europe/Moscow,17332000,primary
22,金沙萨,Kinshasa,Congo (Kinshasa),Kinshasa,15.3081,-4.3233,UTC,17071000,primary
23,布宜诺斯艾利斯,Buenos Aires,Argentina,"Buenos Aires, Ciudad Autónoma de",-58.3819,-34.5997,America/Argentina/Buenos_Aires,16710000,primary
24,拉各斯,Lagos,Nigeria,Lagos,3.3936,6.4561,Africa/Lagos,16637000,minor
25,伊斯坦布尔,Istanbul,Turkey,İstanbul,28.9603,41.01,Europe/Istanbul,15519267,admin
26,胡志明市,Ho Chi Minh City,Vietnam,Hồ Chí Minh,106.7019,10.7756,Asia/Ho_Chi_Minh,15136000,admin
27,大阪,Osaka,Japan,Ōsaka,135.5021,34.6938,Asia/Tokyo,15126000,admin
28,Tehran,Tehran,Iran,Tehrān,51.3897,35.6889,Asia/Tehran,14148000,primary
29,天津,Tianjin,China,天津,117.2056,39.1467,Asia/Shanghai,13866009,admin
30,Lahore,Lahore,Pakistan,Punjab,74.3436,31.5497,Asia/Karachi,13004135,admin
31,绍兴,Suzhou,China,浙江,120.6194,31.3,Asia/Shanghai,12748262,minor
32,里约热内卢,Rio de Janeiro,Brazil,Rio de Janeiro,-43.2056,-22.9111,America/Sao_Paulo,12592000,admin
33,武汉,Wuhan,China,湖北,114.2975,30.595,Asia/Shanghai,12447718,admin
34,金奈,Chennai,India,Tamil Nādu,80.275,13.0825,Asia/Kolkata,12395000,admin
35,西安,Xi'an,China,陕西,108.9422,34.2611,Asia/Shanghai,12328000,admin
36,洛杉矶,Los Angeles,United States,California,-118.4068,34.1141,America/New_York,11984083,
37,杭州,Hangzhou,China,浙江,120.1675,30.25,Asia/Shanghai,11936010,admin
38,保定,Baoding,China,河北,115.4845,38.8671,Asia/Shanghai,11544036,minor
39,伦敦,London,United Kingdom,"London, City of",-0.1275,51.5072,Europe/London,11262000,primary
40,巴黎,Paris,France,Île-de-France,2.3522,48.8567,Europe/Paris,11060000,primary
41,临沂,Linyi,China,山东,118.3502,35.1041,Asia/Shanghai,11018365,
42,东莞,Dongguan,China,广东,113.7493,23.0475,Asia/Shanghai,10646000,minor
43,哈尔滨,Harbin,China,黑龙江,126.6333,45.75,Asia/Shanghai,10635971,admin
44,海德拉巴,Hyderabad,India,Telangāna,78.4747,17.3617,Asia/Kolkata,10494000,admin
45,利马,Lima,Peru,Lima,-77.0375,-12.06,America/Lima,10320000,primary
46,波哥大,Bogota,Colombia,Bogotá,-74.0817,4.6097,America/Bogota,10085000,primary
47,青岛,Qingdao,China,山东,120.4,36.1167,Asia/Shanghai,10071722,minor
48,南阳,Nanyang,China,河南,112.5292,32.9987,Asia/Shanghai,9713112,minor
49,佛山,Foshan,China,广东,113.1056,23.0292,Asia/Shanghai,9498863,minor
50,南京,Nanjing,China,江苏,118.7789,32.0608,Asia/Shanghai,9314685,admin
51,济南,Jinan,China,山东,116.9833,36.6667,Asia/Shanghai,9202432,admin
52,名古屋,Nagoya,Japan,Aichi,136.9064,35.1814,Asia/Tokyo,9197000,admin
53,罗安达,Luanda,Angola,Luanda,13.2344,-8.8383,UTC,9051000,primary
54,周口,Zhoukou,China,河南,114.6418,33.625,Asia/Shanghai,9026015,minor
55,赣州,Ganzhou,China,江西,114.9336,25.8292,Asia/Shanghai,8970014,minor
56,吉隆坡,Kuala Lumpur,Malaysia,Kuala Lumpur,101.6953,3.1478,Asia/Kuala_Lumpur,8911000,primary
57,菏泽,Heze,China,山东,115.4333,35.2333,Asia/Shanghai,8795939,minor
58,泉州,Quanzhou,China,福建,118.5858,24.9139,Asia/Shanghai,8782285,minor
59,河内,Hanoi,Vietnam,Hà Nội,105.8412,21.0245,Asia/Ho_Chi_Minh,8717600,primary
60,芝加哥,Chicago,United States,Illinois,-87.6866,41.8375,America/New_York,8609571,
61,班加罗尔,Bangalore,India,Karnātaka,77.5913,12.9791,Asia/Kolkata,8443675,admin
62,济宁,Jining,China,山东,116.5667,35.4,Asia/Shanghai,8357897,
63,沈阳,Shenyang,China,辽宁,123.4281,41.8025,Asia/Shanghai,8294000,admin
64,浦那,Pune,India,Mahārāshtra,73.8553,18.5211,Asia/Kolkata,8231000,
65,阜阳,Fuyang,China,安徽,115.8045,32.8986,Asia/Shanghai,8200264,
66,巴格达,Baghdad,Iraq,Baghdād,44.3661,33.3153,Asia/Baghdad,8126755,primary
67,艾哈迈达巴德,Ahmedabad,India,Gujarāt,72.5797,23.0219,Asia/Kolkata,8009000,minor
68,达累斯萨拉姆,Dar es Salaam,Tanzania,Dar es Salaam,39.2803,-6.8161,Africa/Dar_es_Salaam,7962000,admin
69,喀土穆,Khartoum,Sudan,Khartoum,32.5265,15.6031,UTC,7869000,primary
70,商丘,Shangqiu,China,河南,115.6467,34.4259,Asia/Shanghai,7816831,
71,大连,Dalian,China,辽宁,121.6,38.9,Asia/Shanghai,7450785,
72,Hong Kong,Hong Kong,Hong Kong,,114.1586,22.2783,Asia/Hong_Kong,7450000,primary
73,沧州,Cangzhou,China,河北,116.8452,38.3037,Asia/Shanghai,7300783,minor
